trade_date,close,MA5,MA10,MA20,MA60,MA120,RSI,DIF,DEA,MACD,BB_MID,BB_UPPER,BB_LOWER,BB_WIDTH
2025-07-01,563.0000,,,,,,,0.0000,0.0000,0.0000,,,,
2025-07-02,545.1000,,,,,,,-1.4279,-0.2856,-2.2847,,,,
2025-07-03,547.3000,,,,,,,-2.3549,-0.6994,-3.3109,,,,
2025-07-04,547.4700,,,,,,,-3.0408,-1.1677,-3.7461,,,,
2025-07-07,541.3800,548.8500,,,,,,-4.0293,-1.7400,-4.5785,,,,
2025-07-08,542.7700,544.8040,,,,,,-4.6469,-2.3214,-4.6511,,,,
2025-07-09,535.0000,542.7840,,,,,,-5.6977,-2.9967,-5.4022,,,,
2025-07-10,523.5000,538.0240,,,,,,-7.3735,-3.8720,-7.0029,,,,
2025-07-11,553.9800,539.3260,,,,,,-6.1709,-4.3318,-3.6782,,,,
2025-07-14,565.0600,544.0620,546.4560,,,,,-4.2745,-4.3203,0.0917,,,,
2025-07-15,553.1000,546.1280,545.4660,,,,,-3.6941,-4.1951,1.0020,,,,
2025-07-16,580.1900,555.1660,548.9750,,,,,-1.0362,-3.5633,5.0542,,,,
2025-07-17,582.4000,566.9460,552.4850,,,,,1.2343,-2.6038,7.6761,,,,
2025-07-18,582.6200,572.6740,556.0000,,,,,3.0166,-1.4797,8.9927,,,,
2025-07-21,582.0000,576.0620,560.0620,,,,30.6529,4.3292,-0.3179,9.2943,,,,
2025-07-22,593.9300,584.2280,565.1780,,,,35.4764,6.2599,0.9976,10.5246,,,,
2025-07-23,595.5600,587.3020,571.2340,,,,36.1301,7.8313,2.3644,10.9339,,,,
2025-07-24,600.2300,590.8680,578.9070,,,,38.0660,9.3457,3.7607,11.1702,,,,
2025-07-25,673.3000,609.0040,590.8390,,,,59.0041,16.2547,6.2595,19.9905,,,,
2025-07-28,679.0000,628.4040,602.2330,574.3445,,,60.1363,21.9371,9.3950,25.0843,574.3445,656.5272,492.1618,28.6179
2025-07-29,710.7800,651.7740,618.0010,581.7335,,,65.8062,28.6744,13.2509,30.8470,581.7335,683.7917,479.6753,35.0876
2025-07-30,684.7000,669.6020,628.4520,588.7135,,,58.4580,31.5456,16.9098,29.2716,588.7135,698.9870,478.4400,37.4625
2025-07-31,709.5000,691.4560,641.1620,596.8235,,,62.7209,35.4140,20.6107,29.6067,596.8235,717.6278,476.0192,40.4824
2025-08-01,689.1000,694.6160,651.8100,603.9050,,,57.4944,36.4139,23.7713,25.2851,603.9050,729.0544,478.7556,41.4467
2025-08-04,689.0600,696.6280,662.5160,611.2890,,,57.4843,36.7791,26.3728,20.8124,611.2890,738.3180,484.2600,41.5610
2025-08-05,695.0000,693.4720,672.6230,618.9005,,,58.6478,37.1199,28.5223,17.1953,618.9005,746.8822,490.9188,41.3578
2025-08-06,694.3400,695.4000,682.5010,626.8675,,,58.4564,36.9113,30.2001,13.4224,626.8675,752.6778,501.0572,40.1394
2025-08-07,703.0000,694.1000,692.7780,635.8425,,,60.2878,37.0180,31.5636,10.9087,635.8425,756.0917,515.5933,37.8236
2025-08-08,692.8000,694.8400,694.7280,642.7835,,,57.0951,35.8661,32.4241,6.8839,642.7835,759.0984,526.4686,36.1910
2025-08-11,707.4000,698.5080,697.5680,649.9005,,,60.3333,35.7195,33.0832,5.2726,649.9005,763.5804,536.2206,34.9838
