ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688256.SH,20250701,401.61,401.61,375.98,377.55,403.37,-25.819999999999993,-6.4,104237.9,5924880.801
688256.SH,20250702,375.68,375.68,363.41,365.54,377.55,-12.009999999999991,-3.18,64098.04,3509933.369
688256.SH,20250703,366.15,371.24,364.81,367.02,365.54,1.4799999999999613,0.4,39722.89,2173734.826
688256.SH,20250704,365.48,374.18,361.23,367.13,367.02,0.11000000000001364,0.03,56859.33,3111587.176
688256.SH,20250707,364.81,371.42,362.8,363.05,367.13,-4.079999999999984,-1.11,33310.55,1810291.915
688256.SH,20250708,362.12,365.68,360.85,363.98,363.05,0.9300000000000068,0.26,39527.81,2143484.029
688256.SH,20250709,364.81,365.33,357.77,358.77,363.98,-5.210000000000036,-1.43,49069.59,2643083.782
688256.SH,20250710,358.11,360.7,349.16,351.06,358.77,-7.7099999999999795,-2.15,85815.16,4522151.657
688256.SH,20250711,350.72,375.51,350.72,371.5,351.06,20.439999999999998,5.82,116436.72,6359225.561
688256.SH,20250714,372.18,382.24,371.51,378.93,371.5,7.430000000000007,2.0,65114.93,3678055.659
688256.SH,20250715,378.22,378.22,366.66,370.91,378.93,-8.019999999999982,-2.12,59685.89,3309396.823
688256.SH,20250716,367.55,397.73,367.55,389.08,370.91,18.16999999999996,4.9,97122.72,5629778.216
688256.SH,20250717,385.6,392.29,375.02,390.56,389.08,1.4800000000000182,0.38,79737.17,4557378.595
688256.SH,20250718,389.32,395.64,387.63,390.71,390.56,0.14999999999997726,0.04,51156.45,2984533.701
688256.SH,20250721,393.64,402.07,389.0,390.29,390.71,-0.4199999999999591,-0.11,59576.41,3509550.816
688256.SH,20250722,390.22,403.09,389.02,398.29,390.29,8.0,2.05,65632.2,3894927.712
688256.SH,20250723,397.8,404.37,393.33,399.38,398.29,1.089999999999975,0.27,54486.53,3236985.175
688256.SH,20250724,396.66,405.68,396.66,402.51,399.38,3.1299999999999955,0.78,49166.21,2941834.944
688256.SH,20250725,402.05,468.09,402.05,451.52,402.51,49.00999999999999,12.18,127392.73,8133258.858
688256.SH,20250728,451.31,461.84,438.59,455.34,451.52,3.819999999999993,0.85,95079.83,6379660.931
688256.SH,20250729,453.33,481.49,451.31,476.65,455.34,21.310000000000002,4.68,114103.81,7988279.23
688256.SH,20250730,469.42,474.79,456.01,459.16,476.65,-17.489999999999952,-3.67,76531.96,5304272.237
688256.SH,20250731,459.36,492.89,456.02,475.79,459.16,16.629999999999995,3.62,117690.78,8333907.585
688256.SH,20250801,469.42,480.15,456.01,462.11,475.79,-13.680000000000007,-2.88,71835.98,4998268.095
688256.SH,20250804,461.09,469.39,452.77,462.08,462.11,-0.03000000000002956,-0.01,57761.09,3987683.051
688256.SH,20250805,460.03,469.35,457.74,466.07,462.08,3.990000000000009,0.86,48788.23,3379825.557
688256.SH,20250806,463.96,467.0,459.36,465.62,466.07,-0.44999999999998863,-0.1,43399.78,2997970.928
688256.SH,20250807,469.76,490.21,460.04,471.43,465.62,5.810000000000002,1.25,108244.28,7687346.63
688256.SH,20250808,463.39,471.39,449.3,464.59,471.43,-6.840000000000032,-1.45,65253.31,4496880.601
688256.SH,20250811,464.39,477.33,463.12,474.38,464.59,9.79000000000002,2.11,55594.27,3916076.012
688256.SH,20250812,471.1,569.26,466.78,569.26,474.38,94.88,20.0,191621.93,15126074.903
688256.SH,20250813,556.6,582.08,549.89,576.72,569.26,7.460000000000036,1.31,134683.86,11355310.256
688256.SH,20250814,580.07,660.54,580.07,636.4,576.72,59.67999999999995,10.35,150710.68,14035314.03
688256.SH,20250815,618.96,627.01,606.77,619.43,636.4,-16.970000000000027,-2.67,110398.69,10171678.36
688256.SH,20250818,637.26,662.55,620.61,637.07,619.43,17.6400000000001,2.85,115423.02,11085893.402
688256.SH,20250819,629.69,671.34,622.26,626.33,637.07,-10.740000000000009,-1.69,105469.57,10074664.704
688256.SH,20250820,617.03,688.71,603.54,679.32,626.33,52.99000000000001,8.46,127059.5,12383503.093
688256.SH,20250821,684.01,724.37,674.34,694.74,679.32,15.419999999999959,2.27,114027.97,11930000.15
688256.SH,20250822,720.9,833.69,720.9,833.69,694.74,138.95000000000005,20.0,141160.82,16488719.338
688256.SH,20250825,885.86,932.81,848.98,928.74,833.69,95.04999999999995,11.4,187639.05,24989985.4
688256.SH,20250826,878.49,903.97,864.41,891.23,928.74,-37.50999999999999,-4.04,118132.28,15643165.298
688256.SH,20250827,924.68,982.42,899.29,920.13,891.23,28.899999999999977,3.24,178950.9,25003097.032
688256.SH,20250828,952.25,1070.2,932.81,1064.85,920.13,144.7199999999999,15.73,178270.45,26023907.975
688256.SH,20250829,992.49,1029.35,952.25,1000.87,1064.85,-63.979999999999905,-6.01,178637.73,26507283.491
688256.SH,20250901,979.08,1011.67,911.18,971.29,1000.87,-29.58000000000004,-2.96,175381.16,25070934.112
688256.SH,20250902,973.04,1032.73,959.63,992.49,971.29,21.200000000000045,2.18,173376.45,25731181.437
688256.SH,20250903,951.58,964.99,919.39,942.19,992.49,-50.299999999999955,-5.07,141492.06,19901150.24
688256.SH,20250904,922.08,931.46,792.65,806.06,942.19,-136.1300000000001,-14.45,221653.87,28013149.023
688256.SH,20250905,818.13,878.59,785.94,859.35,806.06,53.29000000000008,6.61,200038.78,24705957.244
688256.SH,20250908,834.9,843.61,793.32,813.29,859.35,-46.06000000000006,-5.36,140728.03,17136817.058
688256.SH,20250909,791.32,849.65,791.32,823.54,813.29,10.25,1.26,103581.54,12767436.237
688256.SH,20250910,850.32,888.55,829.39,853.67,823.54,30.129999999999995,3.66,138585.37,17662160.171
688256.SH,20250911,868.43,963.3,855.69,930.12,853.67,76.45000000000005,8.96,190932.43,25996861.983
688256.SH,20250912,930.12,1020.8,920.06,997.85,930.12,67.73000000000002,7.28,197411.49,28695031.003
